Email Address,First Name,Last Name
mwhite@student.hathaway.edu,Maya,White
bmwangi@hathaway.edu,Benjamin,Mwangi
enemec@hathaway.edu,Elizabeth,Nemec
eruiz@hathaway.edu,Edward,"Ruiz, Jr."
j.roberson@hathaway.edu,Joshua,Roberson
lschwartz@hathaway.edu,Lee,Schwartz
gzhang@hathaway.edu,Grace,Zhang
blowe@hathaway.edu,Brittany,Lowe
jpowers@hathaway.edu,Jackson,Powers
l.herrera@hathaway.edu,Lina,Herrera
cross@hathaway.edu,Chelsea,Ross
kbyrd@hathaway.edu,Kate,Byrd
gbryan@hathaway.edu,Gilberto,Lewis
mgarza@hathaway.edu,Mary,"Garza, Sr."
rstephens@hathaway.edu,Renee,Stephens
jmoody@hathaway.edu,John,Moody
msparks@hathaway.edu,Myra,Sparks
r.olson@hathaway.edu,Rachel,Olson
sfox@hathaway.edu,Samuel,Fox
jrichards2@hathaway.edu,James,Richards
